dataset,workload,table,load_factor,insert_ns_per_op,find_ns_per_op,insert_count,find_count,capacity,elements,bytes_estimate,bytes_per_element
uniform,read_heavy,linear,0.3204345703125,41.732,36.730105263157895,250,4750,16384,5250,131072,24
uniform,read_heavy,quadratic,0.3204345703125,45.592,38.961684210526315,250,4750,16384,5250,131072,24
uniform,read_heavy,cuckoo,0.16021728515625,68.772,40.137263157894736,250,4750,32768,5250,262144,49
uniform,read_heavy,slick,0.525,56.468,35.6058947368421,250,4750,10000,5250,211072,40
uniform,read_heavy,std_set,0.3662109375,37.276,41.60631578947368,250,4750,14336,5250,114688,21
uniform,read_heavy,linear,0.4007720947265625,56.01541501976285,46.855445544554456,2530,47470,131072,52530,1048576,19
uniform,read_heavy,quadratic,0.4007720947265625,54.161264822134385,44.471392458394774,2530,47470,131072,52530,1048576,19
uniform,read_heavy,cuckoo,0.20038604736328125,112.18972332015811,49.549778807668,2530,47470,262144,52530,2097152,39
uniform,read_heavy,slick,0.5253,59.93122529644269,37.44657678533811,2530,47470,100000,52530,1848576,35
uniform,read_heavy,std_set,0.45802525111607145,36.28339920948616,40.39393301032231,2530,47470,114688,52530,917504,17
uniform,read_heavy,linear,0.5007905960083008,121.12043635784528,105.38141184249594,25117,474883,1048576,525117,8388608,15
uniform,read_heavy,quadratic,0.5007905960083008,126.45745909145201,109.19847836203866,25117,474883,1048576,525117,8388608,15
uniform,read_heavy,cuckoo,0.2503952980041504,187.80602778994307,105.41198779488842,25117,474883,2097152,525117,16777216,31
uniform,read_heavy,slick,0.525117,148.47772425050763,54.97894007576603,25117,474883,1000000,525117,16388608,31
uniform,read_heavy,std_set,0.2861660548618862,74.02540112274555,137.51319798771488,25117,474883,1835008,525117,14680064,27
uniform,read_heavy,linear,0.31296128034591675,139.26569015118565,126.70149015208509,250619,4749381,16777216,5250619,134217728,25
uniform,read_heavy,quadratic,0.31296128034591675,138.42239415207945,127.47260874627662,250619,4749381,16777216,5250619,134217728,25
uniform,read_heavy,cuckoo,0.15648064017295837,238.76275541758605,127.41620644879828,250619,4749381,33554432,5250619,268435456,51
uniform,read_heavy,slick,0.5250619,242.97825384348354,115.71309355892905,250619,4749381,10000000,5250619,214217728,40
uniform,read_heavy,std_set,0.3576700346810477,129.7696663062258,192.33665460825316,250619,4749381,14680064,5250619,117440512,22
sequential,bulk,linear,0.6103515625,22.0595,18.3082,10000,10000,16384,10000,131072,13
sequential,bulk,quadratic,0.6103515625,24.4317,21.6244,10000,10000,16384,10000,131072,13
sequential,bulk,cuckoo,0.30517578125,60.099,21.6145,10000,10000,32768,10000,262144,26
sequential,bulk,slick,1.0,47.2398,14.2599,10000,10000,10000,10000,211072,21
sequential,bulk,std_set,0.6975446428571429,7.1178,3.8325,10000,10000,14336,10000,114688,11
sequential,bulk,linear,0.3814697265625,55.2654,26.81832,100000,100000,262144,100000,2097152,20
sequential,bulk,quadratic,0.3814697265625,57.9117,27.92882,100000,100000,262144,100000,2097152,20
sequential,bulk,cuckoo,0.3814697265625,73.22167,26.02656,100000,100000,262144,100000,2097152,20
sequential,bulk,slick,1.0,56.6169,16.32379,100000,100000,100000,100000,1848576,18
sequential,bulk,std_set,0.8719308035714286,9.93847,6.36376,100000,100000,114688,100000,917504,9
sequential,bulk,linear,0.476837158203125,108.035539,40.596509,1000000,1000000,2097152,1000000,16777216,16
sequential,bulk,quadratic,0.476837158203125,116.278067,42.174015,1000000,1000000,2097152,1000000,16777216,16
sequential,bulk,cuckoo,0.476837158203125,169.765768,54.018322,1000000,1000000,2097152,1000000,16777216,16
sequential,bulk,slick,1.0,118.398348,23.690995,1000000,1000000,1000000,1000000,16388608,16
sequential,bulk,std_set,0.5449567522321429,34.293797,27.207464,1000000,1000000,1835008,1000000,14680064,14
sequential,bulk,linear,0.5960464477539062,90.7742512,48.8809251,10000000,10000000,16777216,10000000,134217728,13
sequential,bulk,quadratic,0.5960464477539062,93.8953805,53.2903087,10000000,10000000,16777216,10000000,134217728,13
sequential,bulk,cuckoo,0.2980232238769531,187.8206592,58.9263581,10000000,10000000,33554432,10000000,268435456,26
sequential,bulk,slick,1.0,168.2715797,55.9102085,10000000,10000000,10000000,10000000,214217728,21
sequential,bulk,std_set,0.6811959402901786,106.505785,39.1999923,10000000,10000000,14680064,10000000,117440512,11
sequential,mixed,linear,0.36712646484375,44.65714285714286,38.98218318695107,1015,3985,16384,6015,131072,21
sequential,mixed,quadratic,0.36712646484375,50.847290640394085,40.58168130489335,1015,3985,16384,6015,131072,21
sequential,mixed,cuckoo,0.183563232421875,70.41773399014778,45.90915934755333,1015,3985,32768,6015,262144,43
sequential,mixed,slick,0.6015,59.22955665024631,36.49134253450439,1015,3985,10000,6015,211072,35
sequential,mixed,std_set,0.41957310267857145,40.754679802955664,44.12521957340025,1015,3985,14336,6015,114688,19
sequential,mixed,linear,0.45818328857421875,58.450323222277476,47.8250344223307,10055,39945,131072,60055,1048576,17
sequential,mixed,quadratic,0.45818328857421875,62.27240179015415,47.695105770434346,10055,39945,131072,60055,1048576,17
sequential,mixed,cuckoo,0.22909164428710938,110.15504724017902,69.10534484916761,10055,39945,262144,60055,2097152,34
sequential,mixed,slick,0.60055,70.58627548483342,44.17131055200901,10055,39945,100000,60055,1848576,30
sequential,mixed,std_set,0.5236380440848214,36.36071606166087,44.073450995118286,10055,39945,114688,60055,917504,15
sequential,mixed,linear,0.5724115371704102,119.3631320035523,104.37738723257367,100217,399783,1048576,600217,8388608,13
sequential,mixed,quadratic,0.5724115371704102,135.0553399123901,107.90777496792009,100217,399783,1048576,600217,8388608,13
sequential,mixed,cuckoo,0.2862057685852051,189.30226408693136,132.3924604097723,100217,399783,2097152,600217,16777216,27
sequential,mixed,slick,0.600217,146.45330632527416,63.72356503403096,100217,399783,1000000,600217,16388608,27
sequential,mixed,std_set,0.3270923069545201,69.559655547462,132.09550431108877,100217,399783,1835008,600217,14680064,24
sequential,mixed,linear,0.357704758644104,135.59207921780902,125.96629563034078,1001290,3998710,16777216,6001290,134217728,22
sequential,mixed,quadratic,0.357704758644104,139.36077659818832,125.01821037284525,1001290,3998710,16777216,6001290,134217728,22
sequential,mixed,cuckoo,0.178852379322052,206.4795893297646,152.21870028084058,1001290,3998710,33554432,6001290,268435456,44
sequential,mixed,slick,0.600129,215.7166674989264,119.74987583495677,1001290,3998710,10000000,6001290,214217728,35
sequential,mixed,std_set,0.40880543845040457,128.12019494851643,191.0619499788682,1001290,3998710,14680064,6001290,117440512,19
sequential,read_heavy,linear,0.3204345703125,41.204,35.577473684210524,250,4750,16384,5250,131072,24
sequential,read_heavy,quadratic,0.3204345703125,44.94,37.104,250,4750,16384,5250,131072,24
sequential,read_heavy,cuckoo,0.16021728515625,68.272,38.449473684210524,250,4750,32768,5250,262144,49
sequential,read_heavy,slick,0.525,54.324,34.897684210526315,250,4750,10000,5250,211072,40
sequential,read_heavy,std_set,0.3662109375,29.02,30.63136842105263,250,4750,14336,5250,114688,21
sequential,read_heavy,linear,0.4007720947265625,55.89841897233202,46.659511270275964,2530,47470,131072,52530,1048576,19
sequential,read_heavy,quadratic,0.4007720947265625,59.1901185770751,48.92043395828944,2530,47470,131072,52530,1048576,19
sequential,read_heavy,cuckoo,0.20038604736328125,137.399209486166,63.45923741310301,2530,47470,262144,52530,2097152,39
sequential,read_heavy,slick,0.5253,64.08498023715416,40.38824520749947,2530,47470,100000,52530,1848576,35
sequential,read_heavy,std_set,0.45802525111607145,37.93478260869565,44.998988835053716,2530,47470,114688,52530,917504,17
sequential,read_heavy,linear,0.5007905960083008,119.64717123860333,104.92855924511933,25117,474883,1048576,525117,8388608,15
sequential,read_heavy,quadratic,0.5007905960083008,125.7483775928654,109.27306094343238,25117,474883,1048576,525117,8388608,15
sequential,read_heavy,cuckoo,0.2503952980041504,190.60138551578612,106.51049205804377,25117,474883,2097152,525117,16777216,31
sequential,read_heavy,slick,0.525117,149.97002030497273,56.168188795977116,25117,474883,1000000,525117,16388608,31
sequential,read_heavy,std_set,0.2861660548618862,74.38117609587133,138.28531238220782,25117,474883,1835008,525117,14680064,27
sequential,read_heavy,linear,0.31296128034591675,135.36057521576578,123.40498540757206,250619,4749381,16777216,5250619,134217728,25
sequential,read_heavy,quadratic,0.31296128034591675,138.91652667994046,127.53896981522435,250619,4749381,16777216,5250619,134217728,25
sequential,read_heavy,cuckoo,0.15648064017295837,238.573073071076,127.55980326699417,250619,4749381,33554432,5250619,268435456,51
sequential,read_heavy,slick,0.5250619,243.50130676445121,115.76121983054213,250619,4749381,10000000,5250619,214217728,40
sequential,read_heavy,std_set,0.3576700346810477,126.40312985049019,188.7954906123556,250619,4749381,14680064,5250619,117440512,22
zipf,bulk,linear,0.13360595703125,18.3233,10.0397,10000,10000,16384,2189,131072,59
zipf,bulk,quadratic,0.13360595703125,18.7442,11.2714,10000,10000,16384,2189,131072,59
zipf,bulk,cuckoo,0.066802978515625,41.1126,18.5395,10000,10000,32768,2189,262144,119
zipf,bulk,slick,0.2189,23.9978,13.7153,10000,10000,10000,2189,211072,96
zipf,bulk,std_set,0.15269252232142858,6.4906,3.5727,10000,10000,14336,2189,114688,52
zipf,bulk,linear,0.13193511962890625,31.0466,10.29148,100000,100000,131072,17293,1048576,60
zipf,bulk,quadratic,0.13193511962890625,22.91992,10.63412,100000,100000,131072,17293,1048576,60
zipf,bulk,cuckoo,0.06596755981445312,55.25297,21.36051,100000,100000,262144,17293,2097152,121
zipf,bulk,slick,0.17293,25.83457,13.78484,100000,100000,100000,17293,1848576,106
zipf,bulk,std_set,0.15078299386160715,7.52467,5.64125,100000,100000,114688,17293,917504,53
zipf,bulk,linear,0.13100910186767578,29.306081,17.096128,1000000,1000000,1048576,137373,8388608,61
zipf,bulk,quadratic,0.13100910186767578,26.429586,17.724749,1000000,1000000,1048576,137373,8388608,61
zipf,bulk,cuckoo,0.06550455093383789,54.117731,28.194473,1000000,1000000,2097152,137373,16777216,122
zipf,bulk,slick,0.137373,37.013419,16.740063,1000000,1000000,1000000,137373,16388608,119
zipf,bulk,std_set,0.07486234392438616,14.461816,15.641219,1000000,1000000,1835008,137373,14680064,106
zipf,bulk,linear,0.06638848781585693,54.680882,21.9162855,10000000,10000000,16777216,1113814,134217728,120
zipf,bulk,quadratic,0.06638848781585693,54.0727491,22.7645894,10000000,10000000,16777216,1113814,134217728,120
zipf,bulk,cuckoo,0.03319424390792847,83.7523524,33.6371274,10000000,10000000,33554432,1113814,268435456,241
zipf,bulk,slick,0.1113814,61.4372273,30.1465168,10000000,10000000,10000000,1113814,214217728,192
zipf,bulk,std_set,0.0758725575038365,30.5661112,23.8490513,10000000,10000000,14680064,1113814,117440512,105
zipf,mixed,linear,0.094482421875,36.542857142857144,33.87402760351318,1015,3985,16384,1548,131072,84
zipf,mixed,quadratic,0.094482421875,37.83152709359606,33.89761606022585,1015,3985,16384,1548,131072,84
zipf,mixed,cuckoo,0.0472412109375,50.77832512315271,40.360351317440404,1015,3985,32768,1548,262144,169
zipf,mixed,slick,0.1548,47.693596059113304,36.271267252195734,1015,3985,10000,1548,211072,136
zipf,mixed,std_set,0.10797991071428571,30.24334975369458,28.748055207026347,1015,3985,14336,1548,114688,74
zipf,mixed,linear,0.09099578857421875,37.772849328692196,34.93220678432845,10055,39945,131072,11927,1048576,87
zipf,mixed,quadratic,0.09099578857421875,43.38538040775733,36.14943046689198,10055,39945,131072,11927,1048576,87
zipf,mixed,cuckoo,0.045497894287109375,55.35872700149179,40.386381274252095,10055,39945,262144,11927,2097152,175
zipf,mixed,slick,0.11927,48.39870711089011,37.216848166228566,10055,39945,100000,11927,1848576,154
zipf,mixed,std_set,0.10399518694196429,33.72163102933864,33.05394918012267,10055,39945,114688,11927,917504,76
zipf,mixed,linear,0.09074592590332031,52.93312511849287,50.25479072396775,100217,399783,1048576,95154,8388608,88
zipf,mixed,quadratic,0.09074592590332031,56.818793218715385,52.23059509784058,100217,399783,1048576,95154,8388608,88
zipf,mixed,cuckoo,0.045372962951660156,78.86883462885538,60.55914333525938,100217,399783,2097152,95154,16777216,176
zipf,mixed,slick,0.095154,75.30982767394754,47.85385821808331,100217,399783,1000000,95154,16388608,172
zipf,mixed,std_set,0.05185481480189732,54.911422213796065,61.24018780188252,100217,399783,1835008,95154,14680064,154
zipf,mixed,linear,0.04566603899002075,69.87430314893787,67.17377279172533,1001290,3998710,16777216,766149,134217728,175
zipf,mixed,quadratic,0.04566603899002075,73.55091931408484,68.52197983849791,1001290,3998710,16777216,766149,134217728,175
zipf,mixed,cuckoo,0.022833019495010376,94.0843671663554,75.374720347312,1001290,3998710,33554432,766149,268435456,350
zipf,mixed,slick,0.0766149,108.48105543848436,67.69846800593191,1001290,3998710,10000000,766149,214217728,279
zipf,mixed,std_set,0.052189758845738,82.48707667109429,87.54011818811567,1001290,3998710,14680064,766149,117440512,153
zipf,read_heavy,linear,0.085205078125,35.692,32.04063157894737,250,4750,16384,1396,131072,93
zipf,read_heavy,quadratic,0.085205078125,35.716,32.05368421052631,250,4750,16384,1396,131072,93
zipf,read_heavy,cuckoo,0.0426025390625,78.672,52.25431578947369,250,4750,32768,1396,262144,187
zipf,read_heavy,slick,0.1396,48.748,37.00757894736842,250,4750,10000,1396,211072,151
zipf,read_heavy,std_set,0.09737723214285714,30.452,28.655789473684212,250,4750,14336,1396,114688,82
zipf,read_heavy,linear,0.08281707763671875,39.03794466403162,34.408805561407206,2530,47470,131072,10855,1048576,96
zipf,read_heavy,quadratic,0.08281707763671875,41.27391304347826,34.272677480514005,2530,47470,131072,10855,1048576,96
zipf,read_heavy,cuckoo,0.041408538818359375,67.69249011857707,39.22675373920371,2530,47470,262144,10855,2097152,193
zipf,read_heavy,slick,0.10855,49.27588932806324,36.5536338740257,2530,47470,100000,10855,1848576,170
zipf,read_heavy,std_set,0.09464808872767858,34.216205533596835,34.24609226880135,2530,47470,114688,10855,917504,84
zipf,read_heavy,linear,0.08222293853759766,59.882430226539796,53.20822602620014,25117,474883,1048576,86217,8388608,97
zipf,read_heavy,quadratic,0.08222293853759766,56.13986542978859,53.23897465270393,25117,474883,1048576,86217,8388608,97
zipf,read_heavy,cuckoo,0.04111146926879883,88.67989807699963,58.803675852789006,25117,474883,2097152,86217,16777216,194
zipf,read_heavy,slick,0.086217,83.69976509933511,47.42825285386085,25117,474883,1000000,86217,16388608,190
zipf,read_heavy,std_set,0.04698453630719866,57.76931958434526,65.74844330077093,25117,474883,1835008,86217,14680064,170
zipf,read_heavy,linear,0.04134279489517212,74.01725328087655,65.69527397359782,250619,4749381,16777216,693617,134217728,193
zipf,read_heavy,quadratic,0.04134279489517212,69.64270865337424,66.64738267997451,250619,4749381,16777216,693617,134217728,193
zipf,read_heavy,cuckoo,0.02067139744758606,96.1002876876853,69.07773686718332,250619,4749381,33554432,693617,268435456,387
zipf,read_heavy,slick,0.0693617,127.75189829980967,65.28085154675946,250619,4749381,10000000,693617,214217728,308
zipf,read_heavy,std_set,0.04724890845162528,83.08208874825931,89.22643224453881,250619,4749381,14680064,693617,117440512,169
norvig,bulk,linear,0.6103515625,52.7316,35.8207,10000,10000,16384,10000,393216,39
norvig,bulk,quadratic,0.6103515625,55.5223,37.1557,10000,10000,16384,10000,393216,39
norvig,bulk,cuckoo,0.30517578125,97.8289,33.7486,10000,10000,32768,10000,786432,78
norvig,bulk,slick,1.0,114.2847,69.4571,10000,10000,10000,10000,633216,63
norvig,bulk,std_set,0.6975446428571429,38.917,19.3424,10000,10000,14336,10000,344064,34
norvig,bulk,linear,0.3814697265625,232.83905,91.16618,100000,100000,262144,100000,6291456,62
norvig,bulk,quadratic,0.3814697265625,216.01493,97.94239,100000,100000,262144,100000,6291456,62
norvig,bulk,cuckoo,0.3814697265625,285.18465,90.19215,100000,100000,262144,100000,6291456,62
norvig,bulk,slick,1.0,253.86286,182.46604,100000,100000,100000,100000,5545728,55
norvig,bulk,std_set,0.8719308035714286,89.78909,62.35083,100000,100000,114688,100000,2752512,27
norvig,bulk,linear,0.6357822418212891,170.5254355254355,126.32171732171732,333333,333333,524288,333333,12582912,37
norvig,bulk,quadratic,0.6357822418212891,178.991350991351,127.03369003369004,333333,333333,524288,333333,12582912,37
norvig,bulk,cuckoo,0.31789112091064453,306.7977697977698,116.34344634344635,333333,333333,1048576,333333,25165824,75
norvig,bulk,slick,0.9999790004199915,333.18496818496817,241.1966411966412,333333,333333,333340,333333,20583072,61
norvig,bulk,std_set,0.7266082763671875,128.8135918135918,83.77902277902278,333333,333333,458752,333333,11010048,33
norvig,bulk,linear,0.6357822418212891,178.02394602394602,125.84466584466584,333333,333333,524288,333333,12582912,37
norvig,bulk,quadratic,0.6357822418212891,183.12313812313812,130.45799845799846,333333,333333,524288,333333,12582912,37
norvig,bulk,cuckoo,0.31789112091064453,307.998040998041,117.55704355704356,333333,333333,1048576,333333,25165824,75
norvig,bulk,slick,0.9999790004199915,338.63751563751566,248.79080379080378,333333,333333,333340,333333,20583072,61
norvig,bulk,std_set,0.7266082763671875,127.03473403473403,88.36495936495936,333333,333333,458752,333333,11010048,33
norvig,mixed,linear,0.36712646484375,86.43251231527094,66.72446675031368,1015,3985,16384,6015,393216,65
norvig,mixed,quadratic,0.36712646484375,90.95369458128079,69.73826850690088,1015,3985,16384,6015,393216,65
norvig,mixed,cuckoo,0.183563232421875,140.1448275862069,66.41756587202008,1015,3985,32768,6015,786432,130
norvig,mixed,slick,0.6015,114.37635467980296,82.5879548306148,1015,3985,10000,6015,633216,105
norvig,mixed,std_set,0.41957310267857145,69.12216748768473,61.07402760351317,1015,3985,14336,6015,344064,57
norvig,mixed,linear,0.45818328857421875,173.5589259075087,145.4797346351233,10055,39945,131072,60055,3145728,52
norvig,mixed,quadratic,0.45818328857421875,195.43858776727996,160.60160220302916,10055,39945,131072,60055,3145728,52
norvig,mixed,cuckoo,0.22909164428710938,315.3725509696668,170.52632369508075,10055,39945,262144,60055,6291456,104
norvig,mixed,slick,0.60055,248.77215315763303,177.71285517586682,10055,39945,100000,60055,5545728,92
norvig,mixed,std_set,0.5236380440848214,123.28204873197414,152.9065465014395,10055,39945,114688,60055,2752512,45
norvig,mixed,linear,0.3820075988769531,233.99152189433602,201.73645246148064,33616,133050,524288,200282,12582912,62
norvig,mixed,quadratic,0.3820075988769531,239.60625892432176,205.30638105975197,33616,133050,524288,200282,12582912,62
norvig,mixed,cuckoo,0.19100379943847656,340.32044264635886,208.788485531755,33616,133050,1048576,200282,25165824,125
norvig,mixed,slick,0.6008339833203336,328.09831627796285,262.7341375422773,33616,133050,333340,200282,20583072,102
norvig,mixed,std_set,0.43658011300223215,164.06232151356497,208.7560240511086,33616,133050,458752,200282,11010048,54
norvig,mixed,linear,0.3820075988769531,232.35158852927177,201.0572266065389,33616,133050,524288,200282,12582912,62
norvig,mixed,quadratic,0.3820075988769531,231.71742622560686,200.4247275460353,33616,133050,524288,200282,12582912,62
norvig,mixed,cuckoo,0.19100379943847656,325.0089540694907,202.00007515971438,33616,133050,1048576,200282,25165824,125
norvig,mixed,slick,0.6008339833203336,322.0429259876249,256.6715520481022,33616,133050,333340,200282,20583072,102
norvig,mixed,std_set,0.43658011300223215,157.30137434554973,199.52493799323562,33616,133050,458752,200282,11010048,54
norvig,read_heavy,linear,0.3204345703125,96.6,68.40463157894737,250,4750,16384,5250,393216,74
norvig,read_heavy,quadratic,0.3204345703125,83.808,63.782315789473685,250,4750,16384,5250,393216,74
norvig,read_heavy,cuckoo,0.16021728515625,137.692,62.05978947368421,250,4750,32768,5250,786432,149
norvig,read_heavy,slick,0.525,109.036,80.52168421052632,250,4750,10000,5250,633216,120
norvig,read_heavy,std_set,0.3662109375,68.752,59.44189473684211,250,4750,14336,5250,344064,65
norvig,read_heavy,linear,0.4007720947265625,183.5201581027668,152.33103012428901,2530,47470,131072,52530,3145728,59
norvig,read_heavy,quadratic,0.4007720947265625,177.34782608695653,148.32230882662734,2530,47470,131072,52530,3145728,59
norvig,read_heavy,cuckoo,0.20038604736328125,327.20671936758896,164.6958289445966,2530,47470,262144,52530,6291456,119
norvig,read_heavy,slick,0.5253,235.28853754940712,182.54143669686118,2530,47470,100000,52530,5545728,105
norvig,read_heavy,std_set,0.45802525111607145,122.23913043478261,151.14099431219717,2530,47470,114688,52530,2752512,52
norvig,read_heavy,linear,0.3339385986328125,229.25101022106014,196.7554470085686,8414,158252,524288,175080,12582912,71
norvig,read_heavy,quadratic,0.3339385986328125,228.82754932255764,199.76978490003285,8414,158252,524288,175080,12582912,71
norvig,read_heavy,cuckoo,0.16696929931640625,343.8271927739482,196.31669110027045,8414,158252,1048576,175080,25165824,143
norvig,read_heavy,slick,0.5252294954100918,319.2655098645115,261.85052953517175,8414,158252,333340,175080,20583072,117
norvig,read_heavy,std_set,0.3816441127232143,169.56619919182316,210.74529863761595,8414,158252,458752,175080,11010048,62
norvig,read_heavy,linear,0.3339385986328125,249.081293082957,207.50436013446907,8414,158252,524288,175080,12582912,71
norvig,read_heavy,quadratic,0.3339385986328125,234.38222010934157,204.91956499759877,8414,158252,524288,175080,12582912,71
norvig,read_heavy,cuckoo,0.16696929931640625,349.8206560494414,200.8181444784268,8414,158252,1048576,175080,25165824,143
norvig,read_heavy,slick,0.5252294954100918,326.86296648443073,266.75403154462504,8414,158252,333340,175080,20583072,117
norvig,read_heavy,std_set,0.3816441127232143,180.5587116710245,217.8426181027728,8414,158252,458752,175080,11010048,62
